"타임스탬프","0. あなたの年齢を教えてください","1. このゲームはどれ程あなたの好みに合いましたか？","2. 下記の中で、楽しく遊んだことがあるものを選んでください（複数選択可）","3. このジャンルのゲームをプレイする主な理由は何ですか？（複数選択可）","4. 1プレイを「短い物語」だとすると、クライマックスはどんな瞬間でしたか？
例：「敵に囲まれてピンチだったが、一気に倒せたとき」
「新しいユニットの組み合わせの力を実感したとき」","5. 逆に、プレイ中に最もイライラしたり、アプリを削除したいと思った瞬間は？
 例：「ミネラルを取りに行きたいのに敵に囲まれて動けなかった」
「ユニットがなぜ倒されたのか分からなかった」","6. このゲームを友達に一言で紹介するとしたら？","7. ゲームで最も楽しいと感じた要素は何ですか？（複数選択可）","8. 最後にゲームシステムやルール、アートワークなど、改善してほしい点があれば自由に書いてください。"
"2025/09/27 3:01:23 PM GMT+9","50歳以上","5","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","組み合わせること","コントロールが難しい","はい","モンスターを素早く倒す爽快感",""
"2025/09/27 3:19:53 PM GMT+9","30~39歳","5","Archero（弓矢の伝説）","敵を一掃するときのスリル","Upgrading weapons","Short time of waves","Addictive ","戦略カードを集めてデッキを組む楽しさ","Easy game, really good"
"2025/09/27 3:20:53 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","The boss","None","Addicting","ユニットをマージして新しいランクを作ること","It was very good!!"
"2025/09/27 3:21:44 PM GMT+9","30~39歳","5","このようなゲームはあまり遊ばない","個性的なグラフィックや世界観","More final bosses","Load time","Fun on the go game","モンスターを素早く倒す爽快感","None"
"2025/09/27 3:30:26 PM GMT+9","40~49歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）;Ace Craft;Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 3:33:57 PM GMT+9","20~29歳","4","このようなゲームはあまり遊ばない;","キャラクターを育成して強くなる楽しさ","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 3:39:25 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","ガチャガチャのプルがおもろかった","特にない","キャラが可愛い","ユニットをマージして新しいランクを作ること",""
"2025/09/27 3:41:02 PM GMT+9","20~29歳","4","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 3:44:41 PM GMT+9","40~49歳","3","Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","キャラクターを育成して強くなる楽しさ","","","","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
"2025/09/27 3:55:56 PM GMT+9","50歳以上","5","Vampire Survivors;Survivor.io（ダダサバイバー）;Ace Craft;Archero（弓矢の伝説）;このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","Good","Good","Great","モンスターを素早く倒す爽快感","Apik"
"2025/09/27 3:57:17 PM GMT+9","30~39歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感","뒤로갈수록 약간은 극적인 느낌은 약했음","배치못하고 턴을 시작했을때","뱀서랑 운빨 합쳐놓은거","ユニットをマージして新しいランクを作ること","네이버웹툰이랑 콜라보하면 재밌겠네요"
"2025/09/27 3:57:19 PM GMT+9","30~39歳","5","Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","탱크로 밀때","없음","귀엽고 도파민터지는 게임","戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること","너무 귀여워서 없습니다!"
"2025/09/27 4:05:23 PM GMT+9","30~39歳","4","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/27 4:08:38 PM GMT+9","40~49歳","4","Survivor.io（ダダサバイバー）;Ace Craft","敵を一掃するときのスリル","敵に囲まれた時に逃げれた","指で隠れる","ストレス発散","モンスターを素早く倒す爽快感",""
"2025/09/27 4:09:34 PM GMT+9","30~39歳","4","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","死ぬ瞬間","","","ユニットをマージして新しいランクを作ること",""
"2025/09/27 4:15:08 PM GMT+9","20~29歳","5","Ace Craft","敵を一掃するときのスリル","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 4:15:26 PM GMT+9","20~29歳","4","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 4:32:16 PM GMT+9","20~29歳","4","Survivor.io（ダダサバイバー）;このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","たくさんの魔物が襲われるときです。","コーナーに逃げられずあそわれたことです。","可愛い","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること","ありません。"
"2025/09/27 4:44:50 PM GMT+9","20~29歳","4","","敵を一掃するときのスリル","","","","モンスターを素早く倒す爽快感",""
"2025/09/27 4:44:58 PM GMT+9","30~39歳","4","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感;マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/27 4:51:27 PM GMT+9","30~39歳","5","Vampire Survivors","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","",""
"2025/09/27 4:51:49 PM GMT+9","30~39歳","4","このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","","","","",""
"2025/09/28 10:13:37 AM GMT+9","10~19歳","4","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル","1番最初の武器を集める時","倒せなかった時","ダダサバイバー","モンスターを素早く倒す爽快感","自動で強化できる機能が欲しい。途中から紛らわしくなった"
"2025/09/28 10:14:37 AM GMT+9","20~29歳","3","このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","","","","モンスターを素早く倒す爽快感",""
"2025/09/28 10:35:43 AM GMT+9","30~39歳","4","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","ボスを倒す","ボス戦のダメージの当たり方","","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ",""
"2025/09/28 10:36:39 AM GMT+9","30~39歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","強くなったみんなでがんばって倒した","敵の足が速くてかこまれた","おもしろいよ！","ユニットをマージして新しいランクを作ること","音楽ももっと盛り上げてほしい"
"2025/09/28 10:45:51 AM GMT+9","30~39歳","3","このようなゲームはあまり遊ばない","個性的なグラフィックや世界観","敵を倒したとき","特になし","特になし","モンスターを素早く倒す爽快感","特になし"
"2025/09/28 10:48:42 AM GMT+9","30~39歳","5","Vampire Survivors","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","進化させたとく","動きが遅い","ヴァンサバライク","戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/28 11:03:41 AM GMT+9","20~29歳","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル","ボスを倒せたときが爽快でした","なし","サバイバルゲーム","ユニットをマージして新しいランクを作ること","主人公の魅力がもっとほしいです"
"2025/09/28 11:30:33 AM GMT+9","20~29歳","5","Survivor.io（ダダサバイバー）","個性的なグラフィックや世界観","","","","",""
"2025/09/28 11:41:44 AM GMT+9","40~49歳","4","このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","クリアできた","思うように動かせない","かわいい","戦略カードを集めてデッキを組む楽しさ",""
"2025/09/28 11:58:49 AM GMT+9","30~39歳","4","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル","내가 원하는 유닛이 소환되었을때","소환을 한꺼번에 하였을때 한번에 합체할수있는 기능이 있으면 편리할것같고, 게임의 방향이긴하지만 처음할때 적들의 공격 거리를 가늠할수없는게 아쉬웠습니다.","뱀서류","ユニットをマージして新しいランクを作ること","5번과 동일"
"2025/09/28 12:07:53 PM GMT+9","20~29歳","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","보라색 에픽 유닛 만들때","몬스터들 사거리가 생각보다 길었다","킬링타임용 게임 추천","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること","맵 밖에 미네랄 표시가 좀 더 직관적인 컬러로 표시되도 좋을 것 같다"
"2025/09/28 12:13:49 PM GMT+9","30~39歳","5","Vampire Survivors","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","",""
"2025/09/28 12:16:03 PM GMT+9","30~39歳","5","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
"2025/09/28 12:23:42 PM GMT+9","30~39歳","5","Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ","","めんどくさくなったらx","かわいい、たのしい！","モンスターを素早く倒す爽快感;キャラクター",""
"2025/09/28 12:24:03 PM GMT+9","30~39歳","3","","敵を一掃するときのスリル","豪快なエモート","うまくいかないとき","楽しい","モンスターを素早く倒す爽快感",""
"2025/09/28 12:25:24 PM GMT+9","30~39歳","3","Vampire Survivors;Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","徐々に慣れて楽しむハクスラ","まだ操作がなれないのですぐに死んでしまった","ヴァンパイアサバイバーライクのゲーム","ユニットをマージして新しいランクを作ること","爽快感"
"2025/09/28 12:29:36 PM GMT+9","20~29歳","3","Vampire Survivors;Survivor.io（ダダサバイバー）;Ace Craft","戦略で勝ったときの達成感","","","","",""
"2025/09/28 12:39:55 PM GMT+9","30~39歳","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;個性的なグラフィックや世界観;他プレイヤーとの競争・協力の面白さ","귀여운 게임 스타일이 좋았고 손 감각이 쉬워서 좋았음","버튼이 너무 작았음","소개하고싶습니다 재밌었어요","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ",""
"2025/09/28 12:42:33 PM GMT+9","40~49歳","4","Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ","圧倒的に強くなったときの爽快感","特に無い","ダダサバイバーの進化版","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること","特になし"
"2025/09/28 12:44:50 PM GMT+9","10~19歳","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","敵を蹴散らすところ","あとちょっとで合体できるのに出来ないとき","ダダサバイバーの進化版だ","モンスターを素早く倒す爽快感","特になし"
"2025/09/28 12:46:12 PM GMT+9","9歳以下","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","育成できたとき","育成できないとき","ダダサバイバー","モンスターを素早く倒す爽快感","特になし"
"2025/09/28 1:29:38 PM GMT+9","10~19歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","","","","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
"2025/09/28 1:33:58 PM GMT+9","20~29歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）","戦略で勝ったときの達成感","good games","","","モンスターを素早く倒す爽快感","more special events"
"2025/09/28 1:40:53 PM GMT+9","20~29歳","5","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","","","","",""
